"Conceito","MacroCategoria","Categoria","Subcategoria","Modulo_Curso","Prerequisito","Conhecimento_Atual","Objetivo","Data_Estudo","Tempo_Investido_hrs","Fonte_Estudo","Regras_Operacionais","Probabilidade","Mercado_Aplicavel","Notas"
"Abertura e Fechamento","Fundamentos","Anatomia da Barra","Estrutura","01-07","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Pontos críticos de cada barra"
"Trend Bar","Fundamentos","Tipos de Barra","Classificação","08-11","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Corpo grande com fechamento perto extremo"
"Doji","Fundamentos","Tipos de Barra","Classificação","08-11","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Corpo pequeno indica indecisão"
"Inside Bar (i)","Fundamentos","Tipos de Barra","Padrões de Barras","08-11","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Máxima/mínima dentro barra anterior"
"Outside Bar (o)","Fundamentos","Tipos de Barra","Padrões de Barras","08-11","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Máxima/mínima engolfa barra anterior"
"Reversal Bar","Fundamentos","Tipos de Barra","Classificação","08-11","Trend Bar","0","10","","","Livro/Video/Arvore","","","Universal","Barra com sombra longa contrária"
"Barra Grande/Média/Pequena","Fundamentos","Tamanho de Barra","Classificação","08-11","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Relativo ao contexto recente"
"Barra de Tendência","Fundamentos","Classificação Funcional","Barras Funcionais","08-11","Trend Bar","0","10","","","Livro/Video/Arvore","","","Universal","Barra alinhada com tendência"
"Barra TR","Fundamentos","Classificação Funcional","Barras Funcionais","08-11","Doji","0","10","","","Livro/Video/Arvore","","","Universal","Barra de lateralidade"
"Barra de Sinal","Fundamentos","Classificação Funcional","Barras Funcionais","08-11","Tipos de Barra","0","10","","","Livro/Video/Arvore","","","Universal","Barra que precede entrada"
"Barra de Entrada","Fundamentos","Classificação Funcional","Barras Funcionais","08-11","Barra de Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Onde executar ordem"
"Barra de Surpresa","Fundamentos","Classificação Funcional","Barras Funcionais","08-11","Barra Grande","0","10","","","Livro/Video/Arvore","","","Universal","Movimento inesperado forte"
"Barra de Desistência","Fundamentos","Classificação Funcional","Barras Funcionais","08-11","Trend Bar","0","10","","","Livro/Video/Arvore","","","Universal","Traders desistem da direção - reversão minoritária"
"Padrão ii (inside-inside)","Fundamentos","Padrões de Barras","Compostos","08-11","Inside Bar","0","10","","","Livro/Video/Arvore","","","Universal","2 inside bars consecutivas - compressão extrema"
"Padrão ioi","Fundamentos","Padrões de Barras","Compostos","08-11","Inside Bar e Outside Bar","0","10","","","Livro/Video/Arvore","","","Universal","Inside-outside-inside - indecisão"
"Padrão oo","Fundamentos","Padrões de Barras","Compostos","08-11","Outside Bar","0","10","","","Livro/Video/Arvore","","","Universal","2 outside bars - volatilidade extrema - fique fora"
"Higher High (HH)","Fundamentos","Relação Entre Barras","Estrutura","08-11","Máxima e Mínima","0","10","","","Livro/Video/Arvore","","","Universal","Máxima acima da anterior"
"Higher Low (HL)","Fundamentos","Relação Entre Barras","Estrutura","08-11","Máxima e Mínima","0","10","","","Livro/Video/Arvore","","","Universal","Mínima acima da anterior"
"Lower High (LH)","Fundamentos","Relação Entre Barras","Estrutura","08-11","Máxima e Mínima","0","10","","","Livro/Video/Arvore","","","Universal","Máxima abaixo da anterior"
"Lower Low (LL)","Fundamentos","Relação Entre Barras","Estrutura","08-11","Máxima e Mínima","0","10","","","Livro/Video/Arvore","","","Universal","Mínima abaixo da anterior"
"Equal High (EH)","Fundamentos","Relação Entre Barras","Estrutura","08-11","Máxima e Mínima","0","10","","","Livro/Video/Arvore","","","Universal","Máxima igual à anterior - duplo topo"
"Equal Low (EL)","Fundamentos","Relação Entre Barras","Estrutura","08-11","Máxima e Mínima","0","10","","","Livro/Video/Arvore","","","Universal","Mínima igual à anterior - duplo fundo"
"Definição de Gap","Fundamentos","Gaps","Tipos de Gap","08-11","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Espaço entre barras consecutivas"
"MAG (Moving Average Gap)","Fundamentos","Gaps","Tipos de Gap","08-11","Definição de Gap e MA","0","10","","","Livro/Video/Arvore","","","Universal","Gap entre preço e média móvel - tendência forte"
"EG (Exhaustion Gap)","Fundamentos","Gaps","Tipos de Gap","08-11","Definição de Gap","0","10","","","Livro/Video/Arvore","","","Universal","Gap de exaustão - possível reversão"
"MG (Measuring Gap)","Fundamentos","Gaps","Tipos de Gap","08-11","Definição de Gap","0","10","","","Livro/Video/Arvore","","","Universal","Gap de projeção - continuação com alvo igual"
"Gap de Corpo","Fundamentos","Gaps","Tipos de Gap","08-11","Definição de Gap","0","10","","","Livro/Video/Arvore","","","Universal","Gap entre corpos (não sombras) - força máxima"
"Micro Gap","Fundamentos","Gaps","Tipos de Gap","08-11","Definição de Gap","0","10","","","Livro/Video/Arvore","","","Universal","Gap minúsculo entre barras"
"Gap de Abertura","Fundamentos","Gaps","Tipos de Gap","08-11","Definição de Gap","0","10","","","Livro/Video/Arvore","","","Universal","Gap na abertura do dia - 70-80% fechado"
"Gap como Força","Fundamentos","Gaps","Significado","08-11","Tipos de Gap","0","10","","","Livro/Video/Arvore","","","Universal","Indica pressão institucional forte"
"Padrão Escada","Fundamentos","Gaps","Significado","08-11","MAG","0","10","","","Livro/Video/Arvore","","","Universal","Série de gaps na mesma direção - tendência forte"
"Swing High","Fundamentos","Linhas Horizontais","S/R Estático","08-11","Higher High","0","10","","","Livro/Video/Arvore","","","Universal","Topo significativo - zona de resistência"
"Swing Low","Fundamentos","Linhas Horizontais","S/R Estático","08-11","Lower Low","0","10","","","Livro/Video/Arvore","","","Universal","Fundo significativo - zona de suporte"
"Números Redondos","Fundamentos","Linhas Horizontais","S/R Estático","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Níveis psicológicos: 00/50/000 - magneto"
"Linha de Tendência","Fundamentos","Linhas Diagonais","S/R Dinâmico","08-11","Swing High e Low","0","10","","","Livro/Video/Arvore","","","Universal","Conecta pivots - violação = sinal fraqueza"
"Linha de Canal","Fundamentos","Linhas Diagonais","S/R Dinâmico","08-11","Linha de Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Paralela à linha de tendência"
"MA como Linha Dinâmica","Fundamentos","Linhas Dinâmicas","S/R Dinâmico","08-11","Média Móvel","0","10","","","Livro/Video/Arvore","","","Universal","EMA20 = suporte/resistência dinâmica"
"Equação do Trader","Fundamentos","Matemática","Fundamentos Matemáticos","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Edge = Prob × Reward - Risk"
"Edge (Vantagem)","Fundamentos","Matemática","Fundamentos Matemáticos","01-07","Equação do Trader","0","10","","","Livro/Video/Arvore","","","Universal","Expectativa matemática positiva no longo prazo"
"Probabilidade","Fundamentos","Matemática","Fundamentos Matemáticos","01-07","Equação do Trader","0","10","","","Livro/Video/Arvore","","","Universal","Chance de sucesso estimada do setup"
"Recompensa (Reward)","Fundamentos","Matemática","Fundamentos Matemáticos","01-07","Equação do Trader","0","10","","","Livro/Video/Arvore","","","Universal","Potencial de lucro em relação ao risco"
"Risco","Fundamentos","Matemática","Fundamentos Matemáticos","01-07","Equação do Trader","0","10","","","Livro/Video/Arvore","","","Universal","Potencial de perda = distância até stop"
"Três Variáveis do Trade","Fundamentos","Matemática","Fundamentos Matemáticos","01-07","Equação do Trader","0","10","","","Livro/Video/Arvore","","","Universal","Prob/Reward/Risk - ajustar 1 afeta outras 2"
"Z-score","Fundamentos","Matemática Avançada","Estatística","01-07","Três Variáveis","0","10","","","Livro/Video/Arvore","","","Universal","Medida estatística de desvio - série de resultados"
"Probabilidade Alta (70-90%)","Fundamentos","Níveis de Probabilidade","Referências","08-11","Probabilidade","0","10","","","Livro/Video/Arvore","70-90%","Universal","Universal","Com tendência forte e setup perfeito"
"Probabilidade Média (50-60%)","Fundamentos","Níveis de Probabilidade","Referências","08-11","Probabilidade","0","10","","","Livro/Video/Arvore","50-60%","Universal","Universal","Setup padrão sem contexto excepcional"
"Probabilidade Baixa (40-50%)","Fundamentos","Níveis de Probabilidade","Referências","08-11","Probabilidade","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","Contra-tendência ou scalp de risco"
"Risk:Reward Mínimo 1:1.5","Fundamentos","Matemática","Gestão Financeira","08-11","Risco","0","10","","","Livro/Video/Arvore","","","Universal","Mínimo aceitável para qualquer trade"
"Risk:Reward Swing 1:2","Fundamentos","Matemática","Gestão Financeira","08-11","Risco","0","10","","","Livro/Video/Arvore","","","Universal","Padrão para swing trade"
"Regra dos 80% - Reversões Falham","Fundamentos","Regras Estatísticas","Probabilidade","12-18","Probabilidade","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","80% tentativas reversão falham - favor tendência"
"Regra dos 80% - Rompimentos Falham","Fundamentos","Regras Estatísticas","Probabilidade","12-18","Probabilidade","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","80% breakouts de TR falham - apostem contra"
"Regra dos 80% - Inércia","Fundamentos","Regras Estatísticas","Probabilidade","12-18","Regra 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","Mercado tende a continuar na direção atual"
"Regra dos 70% - Teste de Canal","Fundamentos","Regras Estatísticas","Probabilidade","12-18","Linha de Canal","0","10","","","Livro/Video/Arvore","70%","Universal","Universal","70% dos movimentos testam linha oposta do canal"
"Regra 40-60 em TR","Fundamentos","Regras Estatísticas","Probabilidade","12-18","Probabilidade Média","0","10","","","Livro/Video/Arvore","40-60%","Universal","Universal","Probabilidade ~50% no meio de Trading Range"
"Operações Perfeitas Não Existem","Fundamentos","Mentalidade","Fundamentos","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Aceitar imperfeição - contexto sempre ambíguo"
"Disciplina","Psicologia","Traços de Sucesso","Psicologia Positiva","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Seguir regras consistentemente - base de tudo"
"Paciência","Psicologia","Traços de Sucesso","Psicologia Positiva","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Aguardar setup de qualidade - não forçar"
"Confiança no Sistema","Psicologia","Traços de Sucesso","Psicologia Positiva","01-07","Disciplina e Paciência","0","10","","","Livro/Video/Arvore","","","Universal","Confiar no edge mesmo após perdas"
"Confortável com Incerteza","Psicologia","Traços de Sucesso","Psicologia Positiva","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Aceitar resultado probabilístico"
"Gestão de Medo","Psicologia","Estados Destrutivos","Psicologia Negativa","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Controlar medo que impede entrar/sair correto"
"Gestão de Ambição/Ganância","Psicologia","Estados Destrutivos","Psicologia Negativa","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Não segurar posição além do plano"
"Gestão de FOMO","Psicologia","Estados Destrutivos","Psicologia Negativa","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Fear Of Missing Out - não entrar tarde"
"Evitar Decisões Estúpidas","Psicologia","Estados Destrutivos","Psicologia Negativa","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Não operar por impulso ou emoção"
"Aceitar Incerteza","Psicologia","Gestão Emocional","Habilidades Emocionais","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Resultado sempre probabilístico - aceitar"
"Não Vingar Perdas","Psicologia","Gestão Emocional","Habilidades Emocionais","01-07","Aceitar Incerteza","0","10","","","Livro/Video/Arvore","","","Universal","Pause 10 min após stop - não revenge trade"
"Aprender com Perdas","Psicologia","Gestão Emocional","Habilidades Emocionais","01-07","Não Vingar Perdas","0","10","","","Livro/Video/Arvore","","","Universal","Análise de erros sem julgamento"
"Não Comemorar Cedo","Psicologia","Gestão Emocional","Habilidades Emocionais","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Lucro aberto não é seu - proteger com trailing"
"Proteger Ganhos","Psicologia","Gestão Emocional","Habilidades Emocionais","01-07","Não Comemorar Cedo","0","10","","","Livro/Video/Arvore","","","Universal","Trailing stops e realizações parciais"
"Falsas Crenças","Psicologia","Crenças Limitantes","Psicologia Cognitiva","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Identificar e eliminar crenças que atrapalham"
"Overtrading","Psicologia","Erros Comuns","Comportamentos Destrutivos","01-07","Paciência","0","10","","","Livro/Video/Arvore","","","Universal","Operar demais - qualidade > quantidade"
"Revenge Trading","Psicologia","Erros Comuns","Comportamentos Destrutivos","01-07","Não Vingar Perdas","0","10","","","Livro/Video/Arvore","","","Universal","Tentar recuperar perda no calor do momento"
"Gerenciamento Ruim de Trade","Psicologia","Erros Comuns","Comportamentos Destrutivos","01-07","Disciplina","0","10","","","Livro/Video/Arvore","","","Universal","Não seguir o plano definido antes da entrada"
"Segurando Perdedores Muito Tempo","Psicologia","Gestão de Perdas","Erros de Saída","47-50","Gestão de Medo","0","10","","","Livro/Video/Arvore","","","Universal","Esperança mata contas - stop é obrigatório"
"Realizando Lucros Muito Rápido","Psicologia","Gestão de Perdas","Erros de Saída","47-50","Gestão de Ambição","0","10","","","Livro/Video/Arvore","","","Universal","Sair antes do alvo por medo de perder ganho"
"Perdendo Depois de Aumentar Posição","Psicologia","Gestão de Perdas","Erros de Escalonamento","47-50","Segurando Perdedores","0","10","","","Livro/Video/Arvore","","","Universal","Scale in em perdedora - erro fatal"
"Quatro Fases do Mercado","Contexto","Ciclo de Mercado","Framework Central","12-18","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Tendência/Canal/TR/Rompimento - ciclo contínuo"
"Fase Tendência","Contexto","Fases","Ciclo","12-18","Quatro Fases","0","10","","","Livro/Video/Arvore","","","Universal","Direção clara - HH/HL ou LH/LL"
"Fase Canal","Contexto","Fases","Ciclo","12-18","Quatro Fases","0","10","","","Livro/Video/Arvore","","","Universal","Entre 2 linhas paralelas com direção"
"Fase Lateralidade (TR)","Contexto","Fases","Ciclo","12-18","Quatro Fases","0","10","","","Livro/Video/Arvore","","","Universal","Range-bound - sem direção clara"
"Fase Rompimento","Contexto","Fases","Ciclo","12-18","Quatro Fases","0","10","","","Livro/Video/Arvore","","","Universal","Breakout - início nova tendência ou falha"
"Transição por Correção","Contexto","Transições","Ciclo","12-18","Quatro Fases","0","10","","","Livro/Video/Arvore","","","Universal","Pullback evolui para TR"
"Transição por Rompimento","Contexto","Transições","Ciclo","12-18","Quatro Fases","0","10","","","Livro/Video/Arvore","","","Universal","BO inicia nova fase"
"Inércia do Mercado","Contexto","Ciclo","Propriedades","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","Tendência a continuar > reverter"
"Mercados Resistem à Mudança","Contexto","Ciclo","Propriedades","12-18","Inércia","0","10","","","Livro/Video/Arvore","","","Universal","Favor da continuação sempre"
"Probing Contínuo","Contexto","Ciclo","Propriedades","12-18","Como Mercados Funcionam","0","10","","","Livro/Video/Arvore","","","Universal","Mercado testa S/R constantemente"
"Conceito Always In Direction","Contexto","Always In","Framework Central","12-18","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Framework central Al Brooks - base de tudo"
"Always In Long (AIL)","Contexto","Always In Direction","Estados","12-18","Conceito Always In Direction","0","10","","","Livro/Video/Arvore","","","Universal","Viés compra - compradores no controle"
"Always In Short (AIS)","Contexto","Always In Direction","Estados","12-18","Conceito Always In Direction","0","10","","","Livro/Video/Arvore","","","Universal","Viés venda - vendedores no controle"
"Always In Clara","Contexto","Always In Clareza","Estados","12-18","Always In Direction","0","10","","","Livro/Video/Arvore","","","Universal","Fácil determinar direção - opere a favor"
"Always In Confusa","Contexto","Always In Clareza","Estados","12-18","Always In Direction","0","10","","","Livro/Video/Arvore","","","Universal","Difícil determinar - é Trading Range"
"Decisões Binárias","Contexto","Always In","Princípio","12-18","Conceito Always In Direction","0","10","","","Livro/Video/Arvore","","","Universal","Long ou Short - simplificar processo decisão"
"BLSHS - Buy Low","Contexto","BLSHS","Modo TR","12-18","Always In Confusa","0","10","","","Livro/Video/Arvore","","","Universal","Comprar em baixo de TR - zona suporte"
"BLSHS - Sell High","Contexto","BLSHS","Modo TR","12-18","Always In Confusa","0","10","","","Livro/Video/Arvore","","","Universal","Vender em topo de TR - zona resistência"
"BLSHS - Scalp","Contexto","BLSHS","Modo TR","12-18","Always In Confusa","0","10","","","Livro/Video/Arvore","","","Universal","Entradas rápidas scalp em TR"
"Estrutura de Tendência","Contexto","Tendência","Estrutura","12-18","HH/HL/LH/LL","0","10","","","Livro/Video/Arvore","","","Universal","Swings/Pernas/Pivots compõem tendência"
"Tendência Alta - Higher Lows","Contexto","Tendência Alta","Identificação","12-18","Higher Low","0","10","","","Livro/Video/Arvore","","","Universal","Série de HLs = compradores controlam"
"Compradores Controlam","Contexto","Tendência Alta","Psicologia","12-18","Tendência Alta HL","0","10","","","Livro/Video/Arvore","","","Universal","Bulls no comando - não opere contra"
"Micro Canal Alta","Contexto","Tendência Alta","Tipos","12-18","Tendência Alta","0","10","","","Livro/Video/Arvore","","","Universal","Mais forte - sem correção - pode ser clímax"
"Canal Estreito Alta","Contexto","Tendência Alta","Tipos","12-18","Tendência Alta","0","10","","","Livro/Video/Arvore","","","Universal","Correções rasas 1-3 barras - não toca EMA20"
"Canal Amplo Alta","Contexto","Tendência Alta","Tipos","12-18","Tendência Alta","0","10","","","Livro/Video/Arvore","","","Universal","Correções profundas 50%+ - toca EMA20"
"Tendência Baixa - Lower Highs","Contexto","Tendência Baixa","Identificação","12-18","Lower High","0","10","","","Livro/Video/Arvore","","","Universal","Série de LHs = vendedores controlam"
"Vendedores Controlam","Contexto","Tendência Baixa","Psicologia","12-18","Tendência Baixa LH","0","10","","","Livro/Video/Arvore","","","Universal","Bears no comando - não opere contra"
"Micro Canal Baixa","Contexto","Tendência Baixa","Tipos","12-18","Tendência Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Mais forte - sem correção - pode ser clímax"
"Canal Estreito Baixa","Contexto","Tendência Baixa","Tipos","12-18","Tendência Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Correções rasas - muito forte"
"Canal Amplo Baixa","Contexto","Tendência Baixa","Tipos","12-18","Tendência Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Correções profundas - inclui dois lados"
"Tendência Forte - Características","Contexto","Qualidade Tendência","Avaliação","12-18","Estrutura Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Barras grandes/gaps/micro canal/sem overlap"
"Tendência Fraca - Características","Contexto","Qualidade Tendência","Avaliação","12-18","Estrutura Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Barras pequenas/dojis/muito overlap"
"Quando Não Clara é TR","Contexto","Tendência","Diagnóstico","12-18","Always In Confusa","0","10","","","Livro/Video/Arvore","","","Universal","Dúvida = lateralidade - não force"
"Rompimento Significa Mais Forte","Contexto","Tendência","Diagnóstico","12-18","Fase Rompimento","0","10","","","Livro/Video/Arvore","","","Universal","BO indica força renovada na direção"
"Tendências Tentam Reverter (80% falham)","Contexto","Tendência","Estatística","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","80% das tentativas de reversão falham"
"Tendência da Abertura","Contexto","Tendência","Timing","43-46","Nenhum","0","10","","","Livro/Video/Arvore","20%","Universal","Universal","20% dos dias têm tendência desde abertura"
"Tendências Respeitam Correções Major","Contexto","Tendência","Comportamento","12-18","Estrutura Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Não quebram swings importantes em tendência forte"
"Novas Tendências Começam em Antigas","Contexto","Tendência","Comportamento","12-18","Estrutura Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Reversão de tendência anterior - breakout"
"Definição Canal","Contexto","Canais","Estrutura","12-18","Linha de Canal","0","10","","","Livro/Video/Arvore","","","Universal","2 linhas paralelas contendo movimento direcional"
"2 Pontos Necessários","Contexto","Canais","Construção","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Mínimo para traçar linha"
"Canal Alta Estreito","Contexto","Tipos Canal","Identificação","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Alta com correções rasas - forte"
"Canal Alta Amplo","Contexto","Tipos Canal","Identificação","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Alta com correções profundas - inclui ambos lados"
"Canal Baixa Estreito","Contexto","Tipos Canal","Identificação","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Baixa com correções rasas - forte"
"Canal Baixa Amplo","Contexto","Tipos Canal","Identificação","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Baixa com correções profundas"
"Micro Canal - Tendência Mais Forte","Contexto","Micro Canal","Características","12-18","Canal Estreito","0","10","","","Livro/Video/Arvore","","","Universal","Sem correções - força máxima - pode ser clímax"
"Micro Canal - Pode Ser Clímax","Contexto","Micro Canal","Características","12-18","Micro Canal","0","10","","","Livro/Video/Arvore","","","Universal","8+ barras sem romper = clímax possível"
"Teste Linha Canal (70%)","Contexto","Comportamento Canal","Estatística","12-18","Regra 70%","0","10","","","Livro/Video/Arvore","70%","Universal","Universal","70% dos movimentos testam linha oposta"
"Overshoot","Contexto","Comportamento Canal","Padrão","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Rompe linha e volta - sinal exaustão"
"Undershoot","Contexto","Comportamento Canal","Padrão","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Não alcança linha - força diminuindo"
"Evolução Canal para TR","Contexto","Comportamento Canal","Transição","12-18","Definição Canal e TR","0","10","","","Livro/Video/Arvore","","","Universal","Canal amplo inevitavelmente vira TR"
"Como Traçar Canais","Contexto","Canais Prático","Técnica","12-18","Linha de Canal","0","10","","","Livro/Video/Arvore","","","Universal","Técnica de desenho das linhas"
"Rompimentos Canal Geralmente Falham","Contexto","Rompimentos Canal","Estatística","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","Maioria dos BOs de canal falham"
"BO Início Tendência Mais Sucesso","Contexto","Rompimentos Canal","Timing","12-18","Rompimentos Canal","0","10","","","Livro/Video/Arvore","","","Universal","Timing melhor no início da tendência"
"Maioria Canais São Cunhas","Contexto","Canais","Natureza","12-18","Definição Canal","0","10","","","Livro/Video/Arvore","","","Universal","Linhas tendem a convergir"
"Canal Amplo ou TR","Contexto","Canais","Diagnóstico","12-18","Canal Amplo e TR","0","10","","","Livro/Video/Arvore","","","Universal","Difícil distinguir - mesmos princípios"
"Toda TR tem Canal Alta e Canal Baixa","Contexto","Canais e TR","Perspectiva","12-18","Canal e TR","0","10","","","Livro/Video/Arvore","","","Universal","Perspectivas diferentes do mesmo movimento"
"Definição TR","Contexto","Lateralidade","Framework","12-18","Always In Confusa","0","10","","","Livro/Video/Arvore","","","Universal","Trading Range - lateralidade"
"TR - Correção vs Lateralidade","Contexto","Lateralidade","Distinção","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Correção = temporária; TR = estabelecida"
"TR - Confusão e Decepção","Contexto","Lateralidade","Psicologia","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Marca registrada da TR - decepciona ambos lados"
"TTR (Tight Trading Range)","Contexto","Amplitude TR","Tipos","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","TR estreita = compressão = explosão iminente"
"TR Ampla","Contexto","Amplitude TR","Tipos","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Range largo 20+ pontos - setups claros"
"BOM (Breakout Mode)","Contexto","Modos TR","Modos de Mercado","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","TR nova - aguarda breakout - use stop orders"
"LOM (Limit Order Market)","Contexto","Modos TR","Modos de Mercado","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","TR estabelecida 15+ barras - fade extremos"
